code,lattice,n,dX,dZ,dY,sigma,P_single,P_single_se,P_L,P_L_se,P_L_union,P_X,P_Y,P_Z,cvp_per_s,nsamples
reduced_ldlc_gkp_n_15_5.jld2,ldlc,15,1.508935,1.526685,1.577227,0.2000,9.662666e-01,1.060327e-03,2.493791e-02,9.158136e-04,2.019480e-04,8.312638e-03,7.657285e-03,8.967991e-03,19.4,28992
reduced_ldlc_gkp_n_16_8.jld2,ldlc,16,1.533329,1.535789,1.541814,0.2000,9.685383e-01,1.429732e-03,2.448514e-02,1.265823e-03,1.843989e-04,8.049909e-03,8.116992e-03,8.318240e-03,4.7,14907
reduced_ldlc_gkp_n_17_15.jld2,ldlc,17,1.557180,1.563055,1.652672,0.2000,9.739672e-01,1.760364e-03,1.943290e-02,1.526082e-03,1.170390e-04,7.822048e-03,5.866536e-03,5.744317e-03,1.1,8182
SC_3x5,hexagonal,15,1.316074,1.699044,1.699044,0.2000,8.520000e-01,3.970139e-03,6.387500e-02,2.733930e-03,1.012018e-03,5.300000e-02,2.625000e-03,8.250000e-03,367.6,8000
SC_4x4,hexagonal,16,1.519671,1.519671,1.519671,0.2000,8.541250e-01,3.946446e-03,4.925000e-02,2.419309e-03,2.177648e-04,2.512500e-02,3.000000e-03,2.112500e-02,245.1,8000
SC_5x5,hexagonal,25,1.699044,1.699044,1.699044,0.2000,8.340815e-01,2.786592e-03,2.872854e-02,1.251264e-03,3.240938e-05,1.430816e-02,1.402761e-03,1.301762e-02,7.5,17822
reduced_ldlc_gkp_n_15_5.jld2,ldlc,15,1.508935,1.526685,1.577227,0.2100,9.256511e-01,1.815150e-03,5.634814e-02,1.595502e-03,4.138319e-04,1.857526e-02,1.833589e-02,1.943700e-02,16.1,20888
reduced_ldlc_gkp_n_16_8.jld2,ldlc,16,1.533329,1.535789,1.541814,0.2100,9.271455e-01,2.783836e-03,5.380909e-02,2.416899e-03,3.822500e-04,1.720973e-02,1.904543e-02,1.755392e-02,3.6,8716
reduced_ldlc_gkp_n_17_15.jld2,ldlc,17,1.557180,1.563055,1.652672,0.2100,9.341195e-01,3.110650e-03,5.094340e-02,2.757157e-03,2.508669e-04,1.650943e-02,1.855346e-02,1.588050e-02,1.0,6360
SC_3x5,hexagonal,15,1.316074,1.699044,1.699044,0.2100,7.772826e-01,4.337831e-03,9.576087e-02,3.067904e-03,1.753416e-03,7.652174e-02,6.304348e-03,1.293478e-02,317.6,9200
SC_4x4,hexagonal,16,1.519671,1.519671,1.519671,0.2100,7.839130e-01,4.290958e-03,8.097826e-02,2.844155e-03,4.448767e-04,3.326087e-02,7.173913e-03,4.054348e-02,188.3,9200
SC_5x5,hexagonal,25,1.699044,1.699044,1.699044,0.2100,7.407719e-01,4.493822e-03,6.110001e-02,2.456195e-03,7.836972e-05,2.881481e-02,4.101378e-03,2.818383e-02,4.7,9509
reduced_ldlc_gkp_n_15_5.jld2,ldlc,15,1.508935,1.526685,1.577227,0.2200,8.532850e-01,2.684862e-03,1.116485e-01,2.389772e-03,7.737147e-04,3.823343e-02,3.506651e-02,3.834859e-02,13.1,17367
reduced_ldlc_gkp_n_16_8.jld2,ldlc,16,1.533329,1.535789,1.541814,0.2200,8.562889e-01,3.956044e-03,1.064479e-01,3.478039e-03,7.214908e-04,3.611853e-02,3.675442e-02,3.357497e-02,3.2,7863
reduced_ldlc_gkp_n_17_15.jld2,ldlc,17,1.557180,1.563055,1.652672,0.2200,8.769481e-01,5.010111e-03,9.141661e-02,4.395530e-03,4.878781e-04,3.093743e-02,2.768086e-02,3.279833e-02,0.8,4299
SC_3x5,hexagonal,15,1.316074,1.699044,1.699044,0.2200,6.716250e-01,5.250534e-03,1.563750e-01,4.060817e-03,2.836306e-03,1.180000e-01,1.362500e-02,2.475000e-02,189.1,8000
SC_4x4,hexagonal,16,1.519671,1.519671,1.519671,0.2200,6.836950e-01,5.708619e-03,1.375829e-01,4.228513e-03,8.291252e-04,6.042797e-02,1.763110e-02,5.952381e-02,110.6,6636
SC_5x5,hexagonal,25,1.699044,1.699044,1.699044,0.2200,6.175772e-01,5.744497e-03,1.110801e-01,3.714359e-03,1.690643e-04,5.197709e-02,1.131759e-02,4.778538e-02,2.9,7157
reduced_ldlc_gkp_n_15_5.jld2,ldlc,15,1.508935,1.526685,1.577227,0.2300,7.702339e-01,3.922372e-03,1.709989e-01,3.510497e-03,1.340169e-03,5.589846e-02,5.520299e-02,5.989742e-02,10.2,11503
reduced_ldlc_gkp_n_16_8.jld2,ldlc,16,1.533329,1.535789,1.541814,0.2300,7.763222e-01,6.490505e-03,1.705483e-01,5.858214e-03,1.259634e-03,5.676856e-02,5.822416e-02,5.555556e-02,2.6,4122
reduced_ldlc_gkp_n_17_15.jld2,ldlc,17,1.557180,1.563055,1.652672,0.2300,7.712137e-01,1.376663e-02,1.686359e-01,1.227145e-02,8.749272e-04,5.048335e-02,4.833512e-02,6.981740e-02,0.4,931
SC_3x5,hexagonal,15,1.316074,1.699044,1.699044,0.2300,5.890000e-01,5.500898e-03,2.086250e-01,4.542860e-03,4.333227e-03,1.476250e-01,2.100000e-02,4.000000e-02,155.2,8000
SC_4x4,hexagonal,16,1.519671,1.519671,1.519671,0.2300,5.864542e-01,6.950675e-03,1.980080e-01,5.624378e-03,1.431608e-03,9.223108e-02,2.529880e-02,8.047809e-02,83.7,5020
SC_5x5,hexagonal,25,1.699044,1.699044,1.699044,0.2300,5.087108e-01,8.897475e-03,1.910041e-01,6.996120e-03,3.316856e-04,8.837504e-02,2.280646e-02,7.982262e-02,1.6,3157
reduced_ldlc_gkp_n_15_5.jld2,ldlc,15,1.508935,1.526685,1.577227,0.2400,6.614532e-01,4.931736e-03,2.480721e-01,4.501093e-03,2.177053e-03,8.319757e-02,8.113392e-02,8.374063e-02,9.5,9207
reduced_ldlc_gkp_n_16_8.jld2,ldlc,16,1.533329,1.535789,1.541814,0.2400,6.571840e-01,9.007123e-03,2.495499e-01,8.212051e-03,2.059860e-03,9.146561e-02,7.562117e-02,8.246309e-02,2.2,2777
reduced_ldlc_gkp_n_17_15.jld2,ldlc,17,1.557180,1.563055,1.652672,0.2400,6.627667e-01,1.240260e-02,2.580867e-01,1.147960e-02,1.465702e-03,8.327598e-02,8.740537e-02,8.740537e-02,0.5,1453
SC_3x5,hexagonal,15,1.316074,1.699044,1.699044,0.2400,4.811815e-01,5.452880e-03,2.812053e-01,4.906570e-03,6.310275e-03,1.884231e-01,3.394474e-02,5.883754e-02,139.9,8396
SC_4x4,hexagonal,16,1.519671,1.519671,1.519671,0.2400,4.917380e-01,7.053897e-03,2.697591e-01,6.262382e-03,2.318405e-03,1.212423e-01,3.683058e-02,1.116862e-01,83.7,5023
SC_5x5,hexagonal,25,1.699044,1.699044,1.699044,0.2400,3.635724e-01,1.275617e-02,2.573840e-01,1.159373e-02,6.009290e-04,1.082982e-01,4.992968e-02,9.915612e-02,1.2,1422
reduced_ldlc_gkp_n_15_5.jld2,ldlc,15,1.508935,1.526685,1.577227,0.2500,5.460535e-01,5.658762e-03,3.389743e-01,5.380146e-03,3.349571e-03,1.169100e-01,1.122594e-01,1.098049e-01,8.8,7741
reduced_ldlc_gkp_n_16_8.jld2,ldlc,16,1.533329,1.535789,1.541814,0.2500,5.467836e-01,1.017416e-02,3.437761e-01,9.707375e-03,3.187129e-03,1.161236e-01,1.060986e-01,1.215539e-01,1.8,2394
reduced_ldlc_gkp_n_17_15.jld2,ldlc,17,1.557180,1.563055,1.652672,0.2500,5.169082e-01,3.473253e-02,3.429952e-01,3.299462e-02,2.317747e-03,1.449275e-01,1.256039e-01,7.246377e-02,0.4,207
SC_3x5,hexagonal,15,1.316074,1.699044,1.699044,0.2500,3.801300e-01,6.347646e-03,3.527702e-01,6.248439e-03,8.823981e-03,2.224692e-01,5.095759e-02,7.934337e-02,97.4,5848
SC_4x4,hexagonal,16,1.519671,1.519671,1.519671,0.2500,3.688829e-01,8.864075e-03,3.435707e-01,8.724413e-03,3.556424e-03,1.376983e-01,5.906176e-02,1.468107e-01,49.4,2963
SC_5x5,hexagonal,25,1.699044,1.699044,1.699044,0.2500,2.555762e-01,1.329732e-02,3.503717e-01,1.454423e-02,1.017877e-03,1.431227e-01,5.669145e-02,1.505576e-01,1.0,1076
reduced_ldlc_gkp_n_15_5.jld2,ldlc,15,1.508935,1.526685,1.577227,0.2600,4.181969e-01,5.795877e-03,4.451194e-01,5.839542e-03,4.920433e-03,1.489714e-01,1.469005e-01,1.492475e-01,7.8,7243
reduced_ldlc_gkp_n_16_8.jld2,ldlc,16,1.533329,1.535789,1.541814,0.2600,4.115128e-01,1.073356e-02,4.448145e-01,1.083907e-02,4.704318e-03,1.417697e-01,1.674596e-01,1.355852e-01,1.7,2102
reduced_ldlc_gkp_n_17_15.jld2,ldlc,17,1.557180,1.563055,1.652672,0.2600,4.057143e-01,3.711836e-02,4.057143e-01,3.711836e-02,3.489186e-03,1.600000e-01,1.142857e-01,1.314286e-01,0.3,175
SC_3x5,hexagonal,15,1.316074,1.699044,1.699044,0.2600,2.960603e-01,6.344199e-03,4.156045e-01,6.848769e-03,1.191937e-02,2.526072e-01,7.242178e-02,9.057551e-02,86.3,5178
SC_4x4,hexagonal,16,1.519671,1.519671,1.519671,0.2600,2.975391e-01,8.827825e-03,4.090231e-01,9.493575e-03,5.209425e-03,1.621924e-01,8.724832e-02,1.595824e-01,44.7,2682
SC_5x5,hexagonal,25,1.699044,1.699044,1.699044,0.2600,1.555556e-01,1.350710e-02,4.750000e-01,1.861059e-02,1.628145e-03,1.694444e-01,7.916667e-02,2.263889e-01,0.6,720
